strain (F12), twin GBs- stress, random GBs- stress, strains (F12)- Twin GBs- stress
2e-05,0.00190431605931218,0.00220699607763451,-2e-05,-0.00190431605931354
4e-05,0.00380863211862407,0.00441399215526997,-4e-05,-0.00380863211862407
6e-05,0.00571294817793625,0.00662098823290447,-6e-05,-0.00571294817793776
8e-05,0.00761726423724814,0.00882798431053898,-8e-05,-0.00761726423724829
0.0001,0.00952158029656183,0.0110349803881729,-0.0001,-0.00952158029656183
0.00012,0.011425896355874,0.0132419764658089,-0.00012,-0.0114258963558724
0.00014,0.0133302124151859,0.0154489725434428,-0.00014,-0.0133302124151845
0.00016,0.0152345284744981,0.0176559686210774,-0.00016,-0.0152345284744951
0.00018,0.01713884453381,0.0198629646987119,-0.00018,-0.0171388445338088
0.0002,0.0190431605931221,0.0220699607763473,-0.0002,-0.0190431605931223
0.00022,0.020947476652434,0.0242769568539818,-0.00022,-0.0209474766524328
0.00024,0.0228517927117462,0.0264839529316163,-0.00024,-0.0228517927117464
0.00026,0.0247561087710584,0.0286909490092502,-0.00026,-0.0247561087710569
0.00028,0.0266604248303676,0.0308979450868863,-0.00028,-0.0266604248303704
0.0003,0.0285647408896813,0.0331049411645208,-0.0003,-0.0285647408896811
0.00032,0.0304690569489931,0.0353119372421547,-0.00032,-0.0304690569489946
0.00034,0.0323733730083053,0.0375189333197892,-0.00034,-0.0323733730083052
0.00036,0.0342776890676175,0.0397259293974247,-0.00036,-0.0342776890676187
0.00038,0.0361820051269294,0.0419329254750592,-0.00038,-0.0361820051269292
0.0004,0.0380863211862416,0.0441399215526937,-0.0004,-0.0380863211862428
0.00042,0.0399906372455535,0.0463469176303276,-0.00042,-0.0399906372455551
0.00044,0.0418949533048657,0.0485539137079637,-0.00044,-0.0418949533048657
0.00046,0.0437992693641775,0.0507609097855982,-0.00046,-0.0437992693641792
0.00048,0.0457035854234897,0.0529679058632321,-0.00048,-0.0457035854234897
0.0005,0.0476079014828034,0.0551749019408666,-0.0005,-0.0476079014828032
0.00052,0.0495122175421153,0.057381898018502,-0.00052,-0.0495122175421138
0.00054,0.0514165336014275,0.0595888940961365,-0.00054,-0.0514165336014275
0.00056,0.0533208496607394,0.061795890173771,-0.00056,-0.053320849660738
0.00058,0.0552251657200515,0.0640028862514049,-0.00058,-0.0552251657200515
0.0006,0.0571294817793637,0.066209882329041,-0.0006,-0.0571294817793651
0.00062,0.0590337978386756,0.0684168784066755,-0.00062,-0.0590337978386756
0.00064,0.0609381138979878,0.0706238744843094,-0.00064,-0.0609381138979891
0.00066,0.0628424299572997,0.0728308705619439,-0.00066,-0.0628424299572998
0.00068,0.0647467460166134,0.07503786663958,-0.00068,-0.0647467460166134
0.0007,0.0666510620759256,0.0772448627172139,-0.0007,-0.0666510620759226
0.00072,0.0685553781352375,0.0794518587948484,-0.00072,-0.0685553781352361
0.00074,0.0704596941945496,0.0816588548724823,-0.00074,-0.0704596941945466
0.00076,0.0723640102538615,0.0838658509501184,-0.00076,-0.0723640102538603
0.00078,0.0742683263131737,0.0860728470277529,-0.00078,-0.0742683263131739
0.0008,0.0761726423724856,0.0882798431053868,-0.0008,-0.0761726423724844
0.00082,0.0780769584317978,0.0904868391830213,-0.00082,-0.0780769584317979
0.00084,0.0799812744911072,0.0926938352606548,-0.00084,-0.0799812744911084
0.00086,0.0818855905504191,0.0949008313382887,-0.00086,-0.081885590550422
0.00088,0.0837899066097328,0.0971078274159232,-0.00088,-0.0837899066097327
0.0009,0.0856942226690447,0.0993148234935603,-0.0009,-0.0856942226690462
0.00092,0.0875985387283569,0.101521819571194,-0.00092,-0.0875985387283567
0.00094,0.0895028547876691,0.10372881564883,-0.00094,-0.0895028547876703
0.00096,0.0914071708469809,0.105935811726462,-0.00096,-0.0914071708469808
0.00098,0.0933114869062931,0.108142807804096,-0.00098,-0.093311486906293
0.001,0.095215802965605,0.110349803881731,-0.001,-0.0952158029656067
0.00102,0.0971201190249172,0.112556799959366,-0.00102,-0.0971201190249172
0.00104,0.0990244350842291,0.114763796037001,-0.00104,-0.0990244350842307
0.00106,0.100928751143541,0.116970792114635,-0.00106,-0.100928751143541
0.00108,0.102833067202855,0.119177788192269,-0.00108,-0.102833067202855
0.0011,0.104737383262167,0.121384784269905,-0.0011,-0.104737383262165
0.00112,0.106641699321479,0.12359178034754,-0.00112,-0.106641699321479
0.00114,0.108546015380791,0.125798776425174,-0.00114,-0.10854601538079
0.00116,0.110450331440103,0.128005772502808,-0.00116,-0.110450331440103
0.00118,0.112354647499415,0.130212768580443,-0.00118,-0.112354647499417
0.0012,0.114258963558727,0.132419764658078,-0.0012,-0.114258963558727
0.00122,0.116163279618039,0.134626760735713,-0.00122,-0.116163279618041
0.00124,0.118067595677351,0.136833756813346,-0.00124,-0.11806759567735
0.00126,0.119971911736665,0.139040752890982,-0.00126,-0.119971911736664
0.00128,0.121876227795977,0.141247748968617,-0.00128,-0.121876227795974
0.0013,0.123780543855289,0.143454745046251,-0.0013,-0.123780543855288
0.00132,0.125684859914601,0.145661741123885,-0.00132,-0.125684859914598
0.00134,0.127589175973913,0.147868737201521,-0.00134,-0.127589175973912
0.00136,0.129493492033225,0.150075733279155,-0.00136,-0.129493492033225
0.00138,0.131397808092534,0.15228272935679,-0.00138,-0.131397808092536
0.0014,0.133302124151847,0.154489725434424,-0.0014,-0.133302124151849
0.00142,0.135206440211159,0.15669672151206,-0.00142,-0.13520644021116
0.00144,0.137110756270471,0.158903717589694,-0.00144,-0.137110756270474
0.00146,0.139015072329784,0.161110713667328,-0.00146,-0.139015072329784
0.00148,0.140919388389096,0.163317709744963,-0.00148,-0.140919388389098
0.0015,0.142823704448408,0.165524705822599,-0.0015,-0.142823704448408
0.00152,0.144728020507721,0.167731701900233,-0.00152,-0.14472802050772
0.00154,0.146632336567032,0.169938697977867,-0.00154,-0.146632336567031
0.00156,0.148536652626345,0.172145694055502,-0.00156,-0.148536652626345
0.00158,0.150440968685657,0.174352690133137,-0.00158,-0.150440968685658
0.0016,0.152345284744969,0.176559686210772,-0.0016,-0.152345284744969
0.00162,0.154249600804281,0.178766682288406,-0.00162,-0.154249600804282
0.00164,0.156153916863593,0.18097367836604,-0.00164,-0.156153916863593
0.00166,0.158058232922907,0.183180674443676,-0.00166,-0.158058232922906
0.00168,0.159962548982218,0.18538767052131,-0.00168,-0.159962548982217
0.0017,0.161866865041531,0.187594666598945,-0.0017,-0.161866865041531
0.00172,0.163771181100842,0.189801662676579,-0.00172,-0.163771181100841
0.00174,0.165675497160155,0.192008658754215,-0.00174,-0.165675497160155
0.00176,0.167579813219467,0.194215654831849,-0.00176,-0.167579813219465
0.00178,0.169484129278779,0.196422650909484,-0.00178,-0.169484129278779
0.0018,0.171388445338091,0.198629646987117,-0.0018,-0.171388445338092
0.00182,0.173292761397403,0.200836643064754,-0.00182,-0.173292761397403
0.00184,0.175197077456715,0.203043639142387,-0.00184,-0.175197077456715
0.00186,0.177101393516027,0.205250635220022,-0.00186,-0.177101393516026
0.00188,0.179005709575341,0.207457631297656,-0.00188,-0.179005709575339
0.0019,0.180910025634653,0.209664627375292,-0.0019,-0.18091002563465
0.00192,0.182814341693965,0.211871623452926,-0.00192,-0.182814341693963
0.00194,0.184718657753277,0.214078619530561,-0.00194,-0.184718657753274
0.00196,0.186622973812589,0.216285615608195,-0.00196,-0.186622973812587
0.00198,0.188527289871898,0.218492611685831,-0.00198,-0.188527289871901
0.002,0.19043160593121,0.220699607763465,-0.002,-0.190431605931211
0.00202,0.192335921990522,0.222906603841099,-0.00202,-0.192335921990525
0.00204,0.194240238049834,0.225113599918734,-0.00204,-0.194240238049836
0.00206,0.196144554109146,0.227320595996369,-0.00206,-0.196144554109149
0.00208,0.19804887016846,0.229527592074004,-0.00208,-0.19804887016846
0.0021,0.199953186227772,0.231734588151638,-0.0021,-0.199953186227773
0.00212,0.201857502287084,0.233941584229272,-0.00212,-0.201857502287083
0.00214,0.203761818346396,0.236148580306908,-0.00214,-0.203761818346396
0.00216,0.205666134405708,0.238355576384543,-0.00216,-0.205666134405707
