GBE subset- total dv/dt, CSL3 dv/dt, GBE- total dv/dt, CSL3 dv/dt, non-GBE- total dv/dt, CSL3 dv/dt
0.0142590899206603,0.0109075650395916,0.0381094121320871,0.0331204095408708,0.0311201261111052,0.024734211400613
0.0142573919148674,0.010906562197686,0.0381069670471845,0.0331165489741068,0.0311173089733288,0.0247320052436137
0.0142556930265805,0.0109055585438931,0.038104525259385,0.0331126972025402,0.0311144955045464,0.0247297954487351
0.0142539932689942,0.0109045540900752,0.0381020867005617,0.0331088542032774,0.031111685706918,0.024727582003365
0.0142522926553532,0.0109035488481908,0.0380996513010103,0.0331050199518188,0.0311088795813959,0.0247253648946568
0.0142505911986497,0.010902542829939,0.0380972189907283,0.0331011944229971,0.0311060771289249,0.0247231441098492
0.0142488889118439,0.0109015360470579,0.0380947896978086,0.0330973775907211,0.0311032783489722,0.0247209196355982
0.0142471858077435,0.0109005285111614,0.0380923633506427,0.0330935694281891,0.0311004832406638,0.0247186914582542
0.0142454818991204,0.0108995202338278,0.0380899398756611,0.0330897699073773,0.0310976918024437,0.0247164595646296
0.0142437771985762,0.0108985112265323,0.0380875191995926,0.0330859789999209,0.031094904031832,0.0247142239406131
0.0142420717185807,0.010897501500672,0.0380851012480292,0.033082196676915,0.0310921199255887,0.0247119845721571
0.0142403654716148,0.0108964910675695,0.0380826950199662,0.0330784319821191,0.03108933948009,0.0247097414452071
0.0142386584699175,0.0108954799385259,0.038080354332763,0.0330747387804706,0.0310865626908452,0.0247074945454457
0.0142369507257243,0.0108944681247181,0.0380780160172378,0.0330710539638233,0.0310837895524259,0.0247052438579374
0.0142352422511074,0.0108934556372482,0.0380756800005315,0.0330673775036274,0.0310810200592613,0.0247029893684001
0.0142335330580998,0.0108924424872043,0.0380733462095435,0.0330637093706372,0.0310782542045871,0.0247007310617136
0.0142318231585818,0.0108914286855466,0.0380710145708747,0.0330600495355071,0.0310754919812695,0.0246984689228711
0.0142301125643165,0.0108904142431889,0.0380686850113392,0.0330563979685223,0.031072733381464,0.024696202936795
0.0142284012870455,0.0108893991709742,0.038066357456259,0.0330527546386321,0.0310699783966157,0.024693933087903
