GBE Subset- beta, Cumulative Freq.,non-GBE- beta, Cumulative Freq., GBE- beta, Cumulative Freq.
-0.66951,0.00146198830409357,-0.749438,0.000503271263210871,-0.793388,0.000401929260450161
-0.66802,0.00146198830409357,-0.747876,0.000503271263210871,-0.791776,0.000401929260450161
-0.66653,0.00146198830409357,-0.746314,0.000503271263210871,-0.790164,0.000401929260450161
-0.66504,0.00146198830409357,-0.744752,0.000503271263210871,-0.788552,0.000401929260450161
-0.66355,0.00146198830409357,-0.74319,0.000503271263210871,-0.78694,0.000401929260450161
-0.66206,0.00146198830409357,-0.741628,0.000503271263210871,-0.785328,0.000401929260450161
-0.66057,0.00146198830409357,-0.740066,0.000503271263210871,-0.783716,0.000401929260450161
-0.65908,0.00146198830409357,-0.738504,0.000503271263210871,-0.782104,0.000401929260450161
-0.65759,0.00146198830409357,-0.736942,0.00100654252642174,-0.780492,0.000401929260450161
-0.6561,0.00146198830409357,-0.73538,0.00100654252642174,-0.77888,0.000401929260450161
-0.65461,0.00146198830409357,-0.733818,0.00100654252642174,-0.777268,0.000401929260450161
-0.65312,0.00146198830409357,-0.732256,0.00100654252642174,-0.775656,0.000401929260450161
-0.65163,0.00146198830409357,-0.730694,0.00100654252642174,-0.774044,0.000401929260450161
-0.65014,0.00146198830409357,-0.729132,0.00100654252642174,-0.772432,0.000401929260450161
-0.64865,0.00146198830409357,-0.72757,0.00100654252642174,-0.77082,0.000401929260450161
-0.64716,0.00146198830409357,-0.726008,0.00100654252642174,-0.769208,0.000401929260450161
-0.64567,0.00146198830409357,-0.724446,0.00100654252642174,-0.767596,0.000401929260450161
-0.64418,0.00146198830409357,-0.722884,0.00100654252642174,-0.765984,0.000401929260450161
-0.64269,0.00146198830409357,-0.721322,0.00100654252642174,-0.764372,0.000401929260450161
-0.6412,0.00146198830409357,-0.71976,0.00100654252642174,-0.76276,0.000401929260450161
-0.63971,0.00146198830409357,-0.718198,0.00100654252642174,-0.761148,0.000401929260450161
-0.63822,0.00146198830409357,-0.716636,0.00100654252642174,-0.759536,0.000401929260450161
-0.63673,0.00146198830409357,-0.715074,0.00100654252642174,-0.757924,0.000401929260450161
-0.63524,0.00146198830409357,-0.713512,0.00100654252642174,-0.756312,0.000401929260450161
-0.63375,0.00146198830409357,-0.71195,0.00100654252642174,-0.7547,0.000401929260450161
-0.63226,0.00146198830409357,-0.710388,0.00100654252642174,-0.753088,0.000401929260450161
-0.63077,0.00146198830409357,-0.708826,0.00100654252642174,-0.751476,0.000401929260450161
-0.62928,0.00146198830409357,-0.707264,0.00100654252642174,-0.749864,0.000401929260450161
-0.62779,0.00146198830409357,-0.705702,0.00100654252642174,-0.748252,0.000401929260450161
-0.6263,0.00146198830409357,-0.70414,0.00100654252642174,-0.74664,0.000401929260450161
-0.62481,0.00146198830409357,-0.702578,0.00100654252642174,-0.745028,0.000401929260450161
-0.62332,0.00146198830409357,-0.701016,0.00150981378963261,-0.743416,0.000401929260450161
-0.62183,0.00146198830409357,-0.699454,0.00150981378963261,-0.741804,0.000401929260450161
-0.62034,0.00146198830409357,-0.697892,0.00150981378963261,-0.740192,0.000401929260450161
-0.61885,0.00146198830409357,-0.69633,0.00150981378963261,-0.73858,0.000401929260450161
-0.61736,0.00146198830409357,-0.694768,0.00150981378963261,-0.736968,0.000401929260450161
-0.61587,0.00146198830409357,-0.693206,0.00150981378963261,-0.735356,0.000401929260450161
-0.61438,0.00146198830409357,-0.691644,0.00150981378963261,-0.733744,0.000401929260450161
-0.61289,0.00146198830409357,-0.690082,0.00150981378963261,-0.732132,0.000803858520900322
-0.6114,0.00146198830409357,-0.68852,0.00150981378963261,-0.73052,0.000803858520900322
-0.60991,0.00146198830409357,-0.686958,0.00150981378963261,-0.728908,0.000803858520900322
-0.60842,0.00146198830409357,-0.685396,0.00150981378963261,-0.727296,0.000803858520900322
-0.60693,0.00146198830409357,-0.683834,0.00150981378963261,-0.725684,0.000803858520900322
-0.60544,0.00146198830409357,-0.682272,0.00150981378963261,-0.724072,0.000803858520900322
-0.60395,0.00146198830409357,-0.68071,0.00150981378963261,-0.72246,0.000803858520900322
-0.60246,0.00146198830409357,-0.679148,0.00150981378963261,-0.720848,0.000803858520900322
-0.60097,0.00146198830409357,-0.677586,0.00150981378963261,-0.719236,0.000803858520900322
-0.59948,0.00292397660818713,-0.676024,0.00150981378963261,-0.717624,0.000803858520900322
-0.59799,0.00292397660818713,-0.674462,0.00201308505284348,-0.716012,0.000803858520900322
-0.5965,0.00292397660818713,-0.6729,0.00201308505284348,-0.7144,0.000803858520900322
-0.59501,0.00292397660818713,-0.671338,0.00201308505284348,-0.712788,0.000803858520900322
-0.59352,0.00292397660818713,-0.669776,0.00201308505284348,-0.711176,0.000803858520900322
-0.59203,0.00292397660818713,-0.668214,0.00201308505284348,-0.709564,0.000803858520900322
-0.59054,0.00292397660818713,-0.666652,0.00201308505284348,-0.707952,0.000803858520900322
-0.58905,0.00292397660818713,-0.66509,0.00201308505284348,-0.70634,0.000803858520900322
-0.58756,0.00292397660818713,-0.663528,0.00201308505284348,-0.704728,0.000803858520900322
-0.58607,0.00292397660818713,-0.661966,0.00201308505284348,-0.703116,0.000803858520900322
-0.58458,0.00292397660818713,-0.660404,0.00201308505284348,-0.701504,0.000803858520900322
-0.58309,0.00292397660818713,-0.658842,0.00201308505284348,-0.699892,0.000803858520900322
-0.5816,0.0043859649122807,-0.65728,0.00201308505284348,-0.69828,0.000803858520900322
-0.58011,0.00584795321637427,-0.655718,0.00201308505284348,-0.696668,0.000803858520900322
