GBE subset- total dv/dt, CSL3 dv/dt, GBE- total dv/dt, CSL3 dv/dt, non-GBE- total dv/dt, CSL3 dv/dt
0.00122383151780706,0.00013021452791745,0.0027745378345399,0.00096495570956951,0.00348280880540332,0.00192168465587612
0.00129932776428303,0.000158001894065372,0.00303282161438066,0.00110011748831605,0.00377078903071004,0.00211817042552281
0.00137964719193354,0.000190970429252241,0.0033147262137535,0.00125541783592381,0.00409040702866419,0.00234771857899528
0.00146462855285939,0.000229000436976541,0.00362249539019999,0.00143759724954587,0.00441700925926693,0.00258583439379109
0.00155256482098782,0.000270420182670558,0.00396056903568464,0.00165130023723415,0.00474417704733353,0.00282611565515123
0.00165547509683006,0.000327269880711183,0.0043345608721304,0.00189812341193718,0.00508262298611212,0.00307927686926009
0.00175889518070725,0.000385195440930914,0.00473827081844509,0.00217424557075035,0.00542574906624929,0.00333872982083961
0.00186615167583925,0.000447527900391545,0.00518922301823346,0.00249945567140873,0.00577506069088284,0.00360599692475763
0.00199338113789537,0.000530453597167905,0.00566023671503593,0.0028468328982447,0.00613412591158724,0.00388469418683073
0.00213249361555587,0.000626019460364848,0.00615078785411199,0.00320785020545085,0.00649365657247003,0.00416560743079759
0.00229007290132201,0.000740941237544215,0.00667526889606361,0.00360164167479739,0.00685334651080632,0.00444840952265085
0.00245918924542472,0.00086843458233784,0.00723481906249604,0.00403307425218269,0.00721431160253796,0.00473421533379711
0.00262949842909111,0.000998204669335395,0.00782069724453724,0.00449364684601987,0.0075845158036181,0.0050309924496194
0.00279993396520258,0.00112920302046608,0.00843348342838257,0.00498413665943141,0.00795609824881623,0.00533091025094529
0.00296877754449151,0.00125972906514369,0.00906363383491668,0.00549518801674281,0.00833661120479658,0.00564152852635455
0.00313361594262535,0.00138734666189219,0.00970023276796059,0.00601603287729814,0.00872374252238811,0.00595795269417425
0.00330098159476009,0.00151855987302013,0.0103462871310529,0.00654971018133289,0.00910994976729471,0.00627374838542241
0.00346752344292516,0.00164709471224157,0.0109942604869953,0.00708503380952495,0.00949810359282788,0.00659004467251866
0.00363567473596916,0.00177252044764544,0.0116521003151565,0.00763302164538153,0.00989679692935552,0.00691849741053287
0.00380628110653166,0.00190151301141759,0.0123079795366668,0.00818273080997513,0.010300283877778,0.00725054900675387
0.00397558354983379,0.00202673355109422,0.012946791588693,0.00871902865454492,0.0107022538892858,0.00758306525959759
0.00414471966738346,0.0021532609315376,0.0135796538157822,0.00925293583425749,0.0111251456535034,0.00793693532611643
0.00430982452550416,0.00227725294210288,0.0142050946877957,0.00978295108066145,0.0115479932524462,0.00829173807633238
0.00446910396744286,0.00239687009893488,0.0148160853616529,0.0103020096629225,0.0119723371364157,0.00864752084245818
0.00462276352355669,0.00251226675604481,0.0154079136417773,0.0108053320064091,0.0123865175826245,0.00899559030868413
0.00477100147352934,0.00262359182203099,0.0159842981912247,0.0112965289684513,0.0127885998609794,0.00933412566462055
0.00491400910210033,0.00273098895214598,0.0165423752341659,0.0117726577192127,0.013183905422713,0.00966836719137915
0.00505544975607131,0.00283557890439295,0.0170868759056189,0.0122365793987278,0.0135706291063024,0.00999653775890699
0.00519439533078912,0.00293843845355214,0.0176166229314303,0.0126876620591279,0.0139488256140443,0.0103186866279235
0.00532829222730137,0.00303756051638834,0.0181311422056992,0.0131265975877673,0.0143106052354686,0.0106268679452157
0.00545732388715114,0.00313308089409711,0.0186262959924268,0.0135491392667518,0.0146630233616207,0.0109261094947732
0.00558166708717242,0.00322513045392177,0.0191077081677593,0.0139607968773633,0.0150056361150411,0.0112144467627816
0.00570149218158104,0.00331383530838295,0.0195768399220976,0.0143629441224687,0.0153366517949147,0.0114921936901036
0.0058175601162183,0.00339991376894019,0.0200288778022631,0.0147506845336267,0.0156575980151335,0.0117609594838024
0.00593114684938051,0.00348460500570712,0.0204690722573734,0.0151291737190641,0.0159683662427821,0.0120208635307951
0.00604428215751265,0.0035677527111526,0.0208938883694014,0.0154948135125332,0.0162671140167722,0.012269598424285
0.00615551447293416,0.00364839540346933,0.0213039482656999,0.0158481428361293,0.0165532569512446,0.012506754669269
0.00626469137777733,0.00372768005132934,0.0217043435866394,0.0161941652770884,0.0168296310801093,0.0127343577368659
0.0063699642006439,0.00380422146542449,0.0220922033628271,0.016529944535061,0.0170929737305379,0.012951215300446
0.00647113381293052,0.00387777952959702,0.0224721497258245,0.0168600287538515,0.0173452940869274,0.0131592453670454
0.00656957780089759,0.00394968818194046,0.0228373266222721,0.0171775284155206,0.0175884164787749,0.0133601735506122
0.00666470345844644,0.00401932785799514,0.0231863484274348,0.0174809838804983,0.0178209905120832,0.0135525566463782
0.00675604073230487,0.00408619412878684,0.0235214755006589,0.0177725621322993,0.0180430810161095,0.0137363699579145
0.0068437404949061,0.00415039744537148,0.023843117258933,0.0180525933447206,0.0182557115676016,0.0139114122768669
0.00692794761032603,0.0042120438601807,0.0241521721223764,0.0183218971753292,0.0184582944897499,0.0140781004586853
0.00700880117354585,0.00427123520218253,0.0244497574528754,0.0185815142869035,0.0186512081117955,0.0142368330643297
0.00708643474018636,0.00432806924506735,0.0247352705548465,0.0188307725746943,0.0188349227683998,0.0143879987596356
0.00716097654709549,0.00438263986873738,0.0250078225069711,0.0190687155424827,0.019010877274397,0.0145329586715813
0.00723254972415263,0.0044350372143661,0.0252696650434364,0.0192975202095328,0.0191783939539536,0.0146709679164492
0.00730127249764148,0.00448534783328433,0.0255210314928688,0.0195173553637131,0.0193378771868505,0.0148023597685905
0.00736725838552413,0.00453365482993862,0.0257633602447048,0.0197295955866346,0.0194905706080505,0.0149283102021834
0.00743061638493644,0.00458003799915332,0.0259956593319643,0.019933189156632,0.0196359169479442,0.0150482045284367
