GBE EBSD data- Phi, Cumulative Frequency, phi1, Cumulative Frequency, phi2, Cumulative Frequency, GBE distribution data- Phi, Cumulative Frequency, phi1, Cumulative Frequency, phi2, Cumulative Frequency, non-GBE EBSD data- Phi, Cumulative Frequency, phi1, Cumulative Frequency, phi2, Cumulative Frequency, non-GBE distribution data- Phi, Cumulative Frequency, phi1, Cumulative Frequency, phi2, Cumulative Frequency,GBE subset EBSD data- Phi, Cumulative Frequency, phi1, Cumulative Frequency, phi2, Cumulative Frequency, GBE subset distribution data- Phi, Cumulative Frequency, phi1, Cumulative Frequency, phi2, Cumulative Frequency
0.0504018,0.00110864745011086,0.030237,0.00110864745011086,0.006283,0.00332594235033259,0.006281,0.000333333333333333,0.006284,0.001,0.006275,0.000133333333333333,0.0207414,0.00138121546961326,0.006283,0.00138121546961326,0.012275,0.00138121546961326,0.006282,0.0002,0.006284,0.000666666666666667,0.006282,0.0006,0.1344798,0.0037593984962406,0.018267,0.0037593984962406,0.006282,0.0037593984962406,0.00627,6.66666666666667e-05,0.006284,0.0008,0.006283,0.0004
0.0513036,0.00110864745011086,0.036474,0.00221729490022173,0.012566,0.00332594235033259,0.012562,0.0004,0.012568,0.002,0.01255,0.0006,0.0216828,0.00138121546961326,0.012566,0.00276243093922652,0.01855,0.00138121546961326,0.012564,0.000466666666666667,0.012568,0.00153333333333333,0.012564,0.001,0.1352596,0.0037593984962406,0.024534,0.0075187969924812,0.012564,0.0112781954887218,0.01254,6.66666666666667e-05,0.012568,0.002,0.012566,0.0006
0.0522054,0.00110864745011086,0.042711,0.00332594235033259,0.018849,0.00665188470066519,0.018843,0.000666666666666667,0.018852,0.00273333333333333,0.018825,0.001,0.0226242,0.00138121546961326,0.018849,0.00552486187845304,0.024825,0.00138121546961326,0.018846,0.000666666666666667,0.018852,0.00246666666666667,0.018846,0.00133333333333333,0.1360394,0.0037593984962406,0.030801,0.0075187969924812,0.018846,0.018796992481203,0.01881,0.000133333333333333,0.018852,0.00293333333333333,0.018849,0.00113333333333333
0.0531072,0.00110864745011086,0.048948,0.00332594235033259,0.025132,0.00886917960088692,0.025124,0.0008,0.025136,0.00373333333333333,0.0251,0.0016,0.0235656,0.00138121546961326,0.025132,0.00552486187845304,0.0311,0.0069060773480663,0.025128,0.00106666666666667,0.025136,0.0032,0.025128,0.00186666666666667,0.1368192,0.0037593984962406,0.037068,0.0075187969924812,0.025128,0.018796992481203,0.02508,0.0002,0.025136,0.00386666666666667,0.025132,0.00126666666666667
0.054009,0.00110864745011086,0.055185,0.00332594235033259,0.031415,0.00886917960088692,0.031405,0.001,0.03142,0.00466666666666667,0.031375,0.0018,0.024507,0.00138121546961326,0.031415,0.00552486187845304,0.037375,0.00966850828729282,0.03141,0.00153333333333333,0.03142,0.004,0.03141,0.00246666666666667,0.137599,0.0037593984962406,0.043335,0.0075187969924812,0.03141,0.018796992481203,0.03135,0.0004,0.03142,0.0052,0.031415,0.00146666666666667
0.0549108,0.00221729490022173,0.061422,0.00443458980044346,0.037698,0.0133037694013304,0.037686,0.00133333333333333,0.037704,0.00566666666666667,0.03765,0.0018,0.0254484,0.00138121546961326,0.037698,0.00828729281767956,0.04365,0.0151933701657459,0.037692,0.00213333333333333,0.037704,0.00473333333333333,0.037692,0.00306666666666667,0.1383788,0.0037593984962406,0.049602,0.0150375939849624,0.037692,0.018796992481203,0.03762,0.000466666666666667,0.037704,0.00613333333333333,0.037698,0.00173333333333333
0.0558126,0.00221729490022173,0.067659,0.00665188470066519,0.043981,0.0144124168514412,0.043967,0.00173333333333333,0.043988,0.0062,0.043925,0.00233333333333333,0.0263898,0.00276243093922652,0.043981,0.00966850828729282,0.049925,0.0165745856353591,0.043974,0.00253333333333333,0.043988,0.00546666666666667,0.043974,0.00346666666666667,0.1391586,0.0037593984962406,0.055869,0.0225563909774436,0.043974,0.0225563909774436,0.04389,0.000666666666666667,0.043988,0.00693333333333333,0.043981,0.0022
0.0567144,0.00221729490022173,0.073896,0.00776053215077605,0.050264,0.0155210643015521,0.050248,0.00233333333333333,0.050272,0.0074,0.0502,0.00293333333333333,0.0273312,0.00276243093922652,0.050264,0.0110497237569061,0.0562,0.0179558011049724,0.050256,0.0032,0.050272,0.00626666666666667,0.050256,0.00386666666666667,0.1399384,0.0037593984962406,0.062136,0.0225563909774436,0.050256,0.0225563909774436,0.05016,0.000733333333333333,0.050272,0.00766666666666667,0.050264,0.00246666666666667
0.0576162,0.00221729490022173,0.080133,0.00886917960088692,0.056547,0.0177383592017738,0.056529,0.00266666666666667,0.056556,0.0086,0.056475,0.00333333333333333,0.0282726,0.00276243093922652,0.056547,0.0110497237569061,0.062475,0.0193370165745856,0.056538,0.0036,0.056556,0.00686666666666667,0.056538,0.00413333333333333,0.1407182,0.0037593984962406,0.068403,0.0225563909774436,0.056538,0.0225563909774436,0.05643,0.00106666666666667,0.056556,0.00893333333333333,0.056547,0.0028
0.058518,0.00221729490022173,0.08637,0.00886917960088692,0.06283,0.0199556541019956,0.06281,0.00306666666666667,0.06284,0.0098,0.06275,0.00373333333333333,0.029214,0.00276243093922652,0.06283,0.0124309392265193,0.06875,0.0220994475138122,0.06282,0.0044,0.06284,0.00786666666666667,0.06282,0.00473333333333333,0.141498,0.0037593984962406,0.07467,0.0225563909774436,0.06282,0.0225563909774436,0.0627,0.00113333333333333,0.06284,0.0102666666666667,0.06283,0.00306666666666667
0.0594198,0.00221729490022173,0.092607,0.0133037694013304,0.069113,0.0221729490022173,0.069091,0.0036,0.069124,0.0107333333333333,0.069025,0.00446666666666667,0.0301554,0.00276243093922652,0.069113,0.0124309392265193,0.075025,0.0262430939226519,0.069102,0.00506666666666667,0.069124,0.00886666666666667,0.069102,0.00506666666666667,0.1422778,0.0037593984962406,0.080937,0.0225563909774436,0.069102,0.0225563909774436,0.06897,0.0014,0.069124,0.0116666666666667,0.069113,0.00333333333333333
