Strain (F12), GBE stress (P12), non-GBE stress (P12), GBE subset stress (P12), Strain (F11), GBE stress (P11), non-GBE stress (P11), GBE subset stress (P11)
0.00086,0.0899657841301513,0.0880812200184431,0.0917995670835438,7.16452934177409e-05,1.17093834628434e-17,6.08887940067859e-16,7.70650904202697e-16
0.00088,0.0920580116680632,0.0901296204839902,0.0939344407366502,7.33114630321069e-05,-1.56125112837913e-16,-2.2811613709095e-16,-7.52002626835946e-16
0.0009,0.0941502392059736,0.0921780209495345,0.0960693143897548,7.49776326464731e-05,-3.11382863937837e-16,1.99059518868339e-16,-3.89011739487799e-16
0.00092,0.0962424667438837,0.094226421415079,0.0982041880428621,7.66438022608391e-05,-4.84855211535518e-16,-6.33607749600529e-16,-1.30104260698261e-18
0.00094,0.0983346942817934,0.096274821880624,0.100339061695966,7.83099718752052e-05,4.01154803819637e-16,-2.12069944938165e-16,3.88144377749811e-16
0.00096,0.100426921819705,0.0983232223461705,0.102473935349073,7.99761414895712e-05,8.52616588442601e-16,1.58813934225677e-15,-7.3899220076612e-16
0.00098,0.102519149357615,0.100371622811715,0.104608809002178,8.16423111039374e-05,7.00394603425636e-16,7.48966860752986e-16,1.86916454536501e-16
0.001,0.104611376895525,0.10242002327726,0.106743682655284,8.33084807183033e-05,-7.3075226425523e-16,1.18221404887819e-15,5.65519853168439e-16
0.00102,0.106703604433436,0.104468423742805,0.108878556308391,8.49746503326694e-05,-8.89045781438114e-16,3.48245737802344e-16,9.35015953551499e-16
0.00104,0.108795831971348,0.106516824208351,0.111013429961495,8.66408199470356e-05,-1.04473721340703e-15,-4.64905891561784e-16,-1.12236608895699e-15
0.00106,0.110888059509258,0.108565224673896,0.113148303614602,8.83069895614017e-05,-5.81566045321225e-16,4.08961059461532e-16,2.0122792321331e-16
0.00108,0.112980287047168,0.110613625139441,0.115283177267707,8.99731591757677e-05,2.88831458750138e-16,-4.22405166400353e-16,5.79397640976254e-16
0.0011,0.115072514585077,0.112662025604986,0.117418050920813,9.16393287901337e-05,1.21430643318376e-16,3.46944695195361e-18,1.51441359452775e-15
0.00112,0.11716474212299,0.114710426070532,0.119552924573918,9.33054984044999e-05,-3.38271077815477e-17,1.32793082086025e-15,-5.71591385334358e-16
0.00114,0.1192569696609,0.116758826536077,0.121687798227025,9.49716680188659e-05,8.34401991944844e-16,5.17814957579077e-16,-2.04697370165263e-16
0.00116,0.12134919719881,0.118807227001622,0.123822671880129,9.66378376332319e-05,6.71337985203024e-16,9.34148591813511e-16,1.90819582357449e-16
0.00118,0.12344142473672,0.120855627467166,0.125957545533236,9.83040072475979e-05,-1.16920362280837e-15,5.56846235788555e-16,-9.35015953551499e-16
0.0012,0.12553365227463,0.122904027932713,0.128092419186341,9.99701768619639e-05,-2.99239799605999e-16,9.78384040450919e-16,-5.41233724504764e-16
0.00122,0.127625879812542,0.124952428398258,0.130227292839447,0.00010163634647633,-4.61436444609831e-16,1.66533453693773e-16,3.70363462121048e-16
0.00124,0.129718107350452,0.127000828863802,0.132362166492552,0.000103302516090696,-5.96744875736022e-16,-6.64399091299117e-16,7.50267903359969e-16
0.00126,0.131810334888362,0.129049229329347,0.134497040145659,0.000104968685705062,-7.71951946809679e-16,-2.43728648374741e-16,-1.32185928869433e-15
0.00128,0.133902562426272,0.131097629794892,0.136631913798763,0.000106634855319428,7.18175519054398e-16,-6.28837260041593e-16,-8.67361737988404e-19
0.0013,0.135994789964184,0.133146030260438,0.13876678745187,0.000108301024933794,5.57713597526543e-16,1.9671764217577e-15,3.81639164714898e-16
0.00132,0.138087017502094,0.135194430725983,0.140901661104974,0.00010996719454816,3.87710696880816e-16,1.14491749414469e-15,7.75421393761633e-16
0.00134,0.140179245040004,0.137242831191527,0.143036534758081,0.000111633364162527,1.28716481917479e-15,3.13984949151802e-16,-7.39859562504108e-16
0.00136,0.142271472577914,0.139291231657072,0.145171408411185,0.000113299533776893,1.11716191852906e-15,7.38124839028131e-16,-3.76434994286967e-16
0.00138,0.144363700115826,0.14133963212262,0.147306282064292,0.000114965703391259,-1.34354333214404e-15,-9.28077059647592e-17,4.33680868994202e-18
0.0014,0.146455927653736,0.143388032588163,0.149441155717396,0.000116631873005625,-8.9078050491409e-16,7.91033905045424e-16,1.33053290607421e-15
0.00142,0.148548155191646,0.145436433053708,0.151576029370503,0.000118298042619991,-1.90819582357449e-17,-3.38271077815477e-17,-7.45931094670027e-16
0.00144,0.150640382729556,0.147484833519253,0.153710903023608,0.000119964212234357,-1.87350135405495e-16,-8.67361737988404e-16,1.8995222061946e-16
0.00146,0.152732610267468,0.1495332339848,0.155845776676714,0.000121630381848723,-3.54750950837257e-16,1.72258041164497e-15,5.63785129692462e-16
0.00148,0.154824837805378,0.151581634450345,0.157980650329822,0.000123296551463089,5.29090660172926e-16,8.91647866652079e-16,-1.51354623278976e-15
0.0015,0.156917065343289,0.15363003491589,0.160115523982926,0.000124962721077455,9.85322934354826e-16,5.18682319317065e-16,-1.56125112837913e-16
0.00152,0.159009292881198,0.155678435381434,0.162250397636033,0.000126628890691821,8.43075609324728e-16,9.32413868337534e-16,2.1163626406917e-16
0.00154,0.16110152041911,0.157726835846981,0.164385271289137,0.000128295060306187,6.67001176513082e-16,1.15359111152458e-16,5.86336534880161e-16
0.00156,0.16319374795702,0.159775236312526,0.166520144942245,0.000129961229920553,-7.39859562504108e-16,5.28223298434938e-16,-9.35883315289487e-16
0.00158,0.16528597549493,0.16182363677807,0.168655018595348,0.000131627399534919,-9.08127739673859e-16,-2.91433543964104e-16,-6.00214322687975e-16
0.0016,0.16737820303284,0.163872037243615,0.170789892248455,0.000133293569149285,-1.06338549077378e-15,-1.10241676898326e-15,-2.00360561475321e-16
0.00162,0.169470430570753,0.165920437709162,0.17292476590156,0.000134959738763652,4.42354486374086e-16,-2.4459601011273e-16,1.1666015375944e-15
0.00164,0.171562658108663,0.167968838174706,0.175059639554666,0.000136625908378018,2.59341159658533e-16,1.09461051334137e-15,-9.28077059647592e-16
0.00166,0.173654885646572,0.170017238640251,0.177194513207771,0.000138292077992383,7.63278329429795e-17,1.52915874407356e-15,-5.51642065360625e-16
0.00168,0.175747113184482,0.172065639105796,0.179329386860878,0.00013995824760675,9.65373614381093e-16,6.90419943438769e-16,3.72098185597025e-16
0.0017,0.177839340722395,0.174114039571342,0.181464260513982,0.000141624417221116,8.27463098040937e-16,-1.32706345912226e-16,7.6588041464376e-16
0.00172,0.179931568260305,0.176162440036887,0.183599134167089,0.000143290586835482,6.49653941753314e-16,3.07913416985883e-16,-1.29670579829266e-15
0.00174,0.182023795798215,0.178210840502432,0.185734007820194,0.000144956756449848,-1.18568349583015e-15,-5.98479599211998e-17,2.68882138776405e-17
0.00176,0.184116023336125,0.180259240967976,0.1878688814733,0.000146622926064214,-3.12250225675825e-16,3.40005801291454e-16,3.90312782094782e-16
0.00178,0.186208250874034,0.182307641433523,0.190003755126405,0.00014828909567858,-4.7791631763161e-16,-4.92661467177413e-16,7.80625564189563e-16
0.0018,0.188300478411946,0.184356041899068,0.192138628779512,0.000149955265292946,-6.22765727875674e-16,8.54351311918577e-16,-7.7715611723761e-16
0.00182,0.190392705949857,0.186404442364612,0.194273502432616,0.000151621434907312,2.56739074444567e-16,1.26981758441502e-15,-3.75567632548979e-16
0.00184,0.192484933487767,0.188452842830157,0.196408376085723,0.000153287604521678,6.93889390390723e-16,8.96852037080009e-16,9.4542429440736e-16
0.00186,0.194577161025677,0.190501243295702,0.198543249738828,0.000154953774136044,5.45570533194706e-16,1.34527805562001e-15,1.34527805562001e-15
0.00188,0.196669388563589,0.192549643761248,0.200678123391934,0.00015661994375041,3.87710696880816e-16,4.87457296749483e-16,-7.25981774696294e-16
0.0019,0.198761616101499,0.194598044226793,0.202812997045041,0.000158286113364777,1.27241966962899e-15,-3.40005801291454e-16,2.2291196666302e-16
0.00192,0.200853843639409,0.196646444692338,0.204947870698145,0.000159952282979142,-1.20736753927986e-15,1.01481323344643e-16,5.77662917500277e-16
0.00194,0.202946071177319,0.198694845157883,0.207082744351252,0.000161618452593509,-1.36175792864179e-15,-7.32053306862213e-16,-1.51181150931379e-15
0.00196,0.205038298715231,0.20074324562343,0.209217618004357,0.000163284622207875,1.51788304147971e-16,1.31838984174237e-16,-1.85615411929518e-16
0.00198,0.207130526253141,0.202791646088974,0.211352491657463,0.000164950791822241,-2.77555756156289e-17,1.49272955107804e-15,1.80411241501588e-16
0.002,0.209222753791051,0.204840046554519,0.213487365310568,0.000166616961436607,-2.12503625807159e-16,6.5746019739521e-16,5.7072402359637e-16
0.00202,0.211314981328961,0.206888447020063,0.215622238963675,0.000168283131050973,-3.5301622736128e-16,1.07813064031959e-15,-9.40220123979429e-16
