GBE Subset- phi0 (GPa), Cumulative Freq.,non-GBE- phi0 (GPa), Cumulative Freq., GBE- phi0 (GPa), Cumulative Freq.
0.300483,0.00292397660818713,0.300502,0.00452944136889784,0.3025,0.00241157556270096
0.302966,0.0087719298245614,0.303004,0.00956215400100654,0.305,0.00482315112540193
0.305449,0.0146198830409357,0.305506,0.0166079516859587,0.3075,0.00683279742765273
0.307932,0.0160818713450292,0.308008,0.0231504781077,0.31,0.00803858520900321
0.310415,0.0190058479532164,0.31051,0.0261701056869653,0.3125,0.00964630225080386
0.312898,0.0204678362573099,0.313012,0.0296930045294414,0.315,0.0112540192926045
0.315381,0.0204678362573099,0.315514,0.0322093608454957,0.3175,0.0136655948553055
0.317864,0.0233918128654971,0.318016,0.0367388022143936,0.32,0.0136655948553055
0.320347,0.0233918128654971,0.320518,0.0407649723200805,0.3225,0.0152733118971061
0.32283,0.0233918128654971,0.32302,0.0478107700050327,0.325,0.0164790996784566
0.325313,0.0277777777777778,0.325522,0.0538500251635632,0.3275,0.0204983922829582
0.327796,0.0277777777777778,0.328024,0.0634121791645697,0.33,0.0233118971061093
0.330279,0.0307017543859649,0.330526,0.0719677906391545,0.3325,0.0281350482315113
0.332762,0.033625730994152,0.333028,0.0770005032712632,0.335,0.0329581993569132
0.335245,0.0380116959064327,0.33553,0.0875691997986915,0.3375,0.0405948553054662
0.337728,0.0482456140350877,0.338032,0.0961248112732763,0.34,0.0518488745980707
0.340211,0.0570175438596491,0.340534,0.110216406643181,0.3425,0.0631028938906752
0.342694,0.0614035087719298,0.343036,0.124811273276296,0.345,0.0747588424437299
0.345177,0.0716374269005848,0.345538,0.141419224962255,0.3475,0.0936495176848875
0.34766,0.0935672514619883,0.34804,0.157020634121792,0.35,0.121784565916399
0.350143,0.119883040935673,0.350542,0.177151484650226,0.3525,0.154340836012862
0.352626,0.154970760233918,0.353044,0.198792148968294,0.355,0.188102893890675
0.355109,0.181286549707602,0.355546,0.225968797181681,0.3575,0.227090032154341
0.357592,0.216374269005848,0.358048,0.253648716658279,0.36,0.268890675241158
0.360075,0.251461988304094,0.36055,0.28887770508304,0.3625,0.310289389067524
0.362558,0.307017543859649,0.363052,0.319073980875692,0.365,0.341639871382637
0.365041,0.342105263157895,0.365554,0.339204831404127,0.3675,0.341639871382637
0.367524,0.342105263157895,0.368056,0.341721187720181,0.37,0.341639871382637
0.370007,0.342105263157895,0.370558,0.343231001509814,0.3725,0.342443729903537
0.37249,0.342105263157895,0.37306,0.345244086562657,0.375,0.342845659163987
0.374973,0.345029239766082,0.375562,0.348263714141922,0.3775,0.342845659163987
0.377456,0.346491228070175,0.378064,0.348263714141922,0.38,0.344051446945338
0.379939,0.346491228070175,0.380566,0.348263714141922,0.3825,0.344051446945338
0.382422,0.346491228070175,0.383068,0.348766985405133,0.385,0.344453376205788
0.384905,0.346491228070175,0.38557,0.348766985405133,0.3875,0.344453376205788
0.387388,0.346491228070175,0.388072,0.348766985405133,0.39,0.344855305466238
0.389871,0.346491228070175,0.390574,0.349773527931555,0.3925,0.344855305466238
0.392354,0.346491228070175,0.393076,0.350276799194766,0.395,0.344855305466238
0.394837,0.346491228070175,0.395578,0.350780070457977,0.3975,0.354099678456592
0.39732,0.361111111111111,0.39808,0.360845495722194,0.4,0.363745980707395
0.399803,0.366959064327485,0.400582,0.367891293407146,0.4025,0.365353697749196
0.402286,0.368421052631579,0.403084,0.37594363361852,0.405,0.367363344051447
0.404769,0.371345029239766,0.405586,0.377956718671364,0.4075,0.368569131832797
0.407252,0.375730994152047,0.408088,0.382989431303473,0.41,0.370578778135048
0.409735,0.378654970760234,0.41059,0.386009058882738,0.4125,0.372186495176849
0.412218,0.380116959064327,0.413092,0.388022143935581,0.415,0.375
0.414701,0.380116959064327,0.415594,0.389028686462003,0.4175,0.377813504823151
0.417184,0.383040935672515,0.418096,0.389531957725214,0.42,0.381832797427653
0.419667,0.384502923976608,0.420598,0.391041771514846,0.4225,0.384244372990354
0.42215,0.387426900584795,0.4231,0.392048314041268,0.425,0.385048231511254
0.424633,0.388888888888889,0.425602,0.395067941620533,0.4275,0.386655948553055
0.427116,0.388888888888889,0.428104,0.397081026673377,0.43,0.387057877813505
0.429599,0.388888888888889,0.430606,0.398087569199799,0.4325,0.387459807073955
0.432082,0.388888888888889,0.433108,0.398087569199799,0.435,0.388263665594855
0.434565,0.388888888888889,0.43561,0.39909411172622,0.4375,0.389469453376206
0.437048,0.388888888888889,0.438112,0.400100654252642,0.44,0.389871382636656
0.439531,0.388888888888889,0.440614,0.400100654252642,0.4425,0.391881028938907
0.442014,0.391812865497076,0.443116,0.401107196779064,0.445,0.392684887459807
0.444497,0.39327485380117,0.445618,0.402617010568697,0.4475,0.392684887459807
0.44698,0.394736842105263,0.44812,0.403623553095118,0.45,0.393086816720257
0.449463,0.394736842105263,0.450622,0.405133366884751,0.4525,0.394292604501608
0.451946,0.394736842105263,0.453124,0.406139909411173,0.455,0.394694533762058
0.454429,0.394736842105263,0.455626,0.407146451937594,0.4575,0.396302250803859
0.456912,0.394736842105263,0.458128,0.408656265727227,0.46,0.397106109324759
0.459395,0.394736842105263,0.46063,0.409159536990438,0.4625,0.398713826366559
0.461878,0.396198830409357,0.463132,0.409662808253649,0.465,0.39991961414791
0.464361,0.399122807017544,0.465634,0.41066935078007,0.4675,0.39991961414791
0.466844,0.400584795321637,0.468136,0.412682435832914,0.47,0.40032154340836
0.469327,0.400584795321637,0.470638,0.413185707096125,0.4725,0.40112540192926
0.47181,0.402046783625731,0.47314,0.413688978359336,0.475,0.402733118971061
0.474293,0.403508771929825,0.475642,0.414192249622547,0.4775,0.403536977491961
0.476776,0.403508771929825,0.478144,0.41620533467539,0.48,0.403938906752412
0.479259,0.403508771929825,0.480646,0.41620533467539,0.4825,0.405144694533762
0.481742,0.403508771929825,0.483148,0.417211877201812,0.485,0.405546623794212
0.484225,0.403508771929825,0.48565,0.418721690991444,0.4875,0.406350482315113
0.486708,0.404970760233918,0.488152,0.419728233517866,0.49,0.407154340836013
0.489191,0.404970760233918,0.490654,0.419728233517866,0.4925,0.408360128617363
0.491674,0.404970760233918,0.493156,0.420231504781077,0.495,0.408360128617363
0.494157,0.406432748538012,0.495658,0.420231504781077,0.4975,0.408762057877814
0.49664,0.406432748538012,0.49816,0.420734776044288,0.5,0.409967845659164
0.499123,0.406432748538012,0.500662,0.421238047307499,0.5025,0.411575562700965
0.501606,0.406432748538012,0.503164,0.42174131857071,0.505,0.412781350482315
0.504089,0.407894736842105,0.505666,0.42174131857071,0.5075,0.413987138263666
0.506572,0.409356725146199,0.508168,0.422747861097131,0.51,0.415192926045016
0.509055,0.409356725146199,0.51067,0.423754403623553,0.5125,0.417202572347267
0.511538,0.410818713450292,0.513172,0.424257674886764,0.515,0.418408360128617
0.514021,0.410818713450292,0.515674,0.424760946149975,0.5175,0.419212218649518
0.516504,0.410818713450292,0.518176,0.425767488676397,0.52,0.419614147909968
0.518987,0.410818713450292,0.520678,0.426270759939607,0.5225,0.420016077170418
0.52147,0.412280701754386,0.52318,0.427277302466029,0.525,0.421221864951768
0.523953,0.412280701754386,0.525682,0.428283844992451,0.5275,0.422427652733119
0.526436,0.412280701754386,0.528184,0.428787116255662,0.53,0.423231511254019
0.528919,0.412280701754386,0.530686,0.429793658782084,0.5325,0.42443729903537
0.531402,0.41374269005848,0.533188,0.431806743834927,0.535,0.42524115755627
0.533885,0.415204678362573,0.53569,0.43331655762456,0.5375,0.426848874598071
0.536368,0.415204678362573,0.538192,0.43331655762456,0.54,0.427652733118971
0.538851,0.415204678362573,0.540694,0.43381982888777,0.5425,0.428054662379421
0.541334,0.41812865497076,0.543196,0.43381982888777,0.545,0.428054662379421
0.543817,0.41812865497076,0.545698,0.434826371414192,0.5475,0.428858520900322
0.5463,0.419590643274854,0.5482,0.436839456467036,0.55,0.428858520900322
0.548783,0.421052631578947,0.550702,0.437342727730247,0.5525,0.430064308681672
0.551266,0.421052631578947,0.553204,0.438349270256668,0.555,0.430064308681672
0.553749,0.422514619883041,0.555706,0.43935581278309,0.5575,0.430064308681672
