GBE Subset- beta, Cumulative Freq.,non-GBE- beta, Cumulative Freq., GBE- beta, Cumulative Freq.
-1.634362,0.00292397660818713,-1.643353,0.000503271263210871,-1.64635,0.00120578778135048
-1.630724,0.00730994152046784,-1.639706,0.00150981378963261,-1.6427,0.00120578778135048
-1.627086,0.0087719298245614,-1.636059,0.00301962757926522,-1.63905,0.00160771704180064
-1.623448,0.0116959064327485,-1.632412,0.00402617010568697,-1.6354,0.00321543408360129
-1.61981,0.0131578947368421,-1.628765,0.00503271263210871,-1.63175,0.00522508038585209
-1.616172,0.0146198830409357,-1.625118,0.00704579768495219,-1.6281,0.00643086816720257
-1.612534,0.0160818713450292,-1.621471,0.00956215400100654,-1.62445,0.00803858520900321
-1.608896,0.0160818713450292,-1.617824,0.0120785103170609,-1.6208,0.00964630225080386
-1.605258,0.0175438596491228,-1.614177,0.0140915953699044,-1.61715,0.0112540192926045
-1.60162,0.0190058479532164,-1.61053,0.0150981378963261,-1.6135,0.0120578778135048
-1.597982,0.0219298245614035,-1.606883,0.0161046804227479,-1.60985,0.0140675241157556
-1.594344,0.0233918128654971,-1.603236,0.0176144942123805,-1.6062,0.0152733118971061
-1.590706,0.0248538011695906,-1.599589,0.0191243080020131,-1.60255,0.0164790996784566
-1.587068,0.0248538011695906,-1.595942,0.0201308505284348,-1.5989,0.0168810289389068
-1.58343,0.0277777777777778,-1.592295,0.0231504781077,-1.59525,0.0172829581993569
-1.579792,0.0277777777777778,-1.588648,0.0241570206341218,-1.5916,0.0180868167202572
-1.576154,0.0292397660818713,-1.585001,0.0261701056869653,-1.58795,0.0192926045016077
-1.572516,0.0292397660818713,-1.581354,0.0276799194765979,-1.5843,0.0196945337620579
-1.568878,0.0321637426900585,-1.577707,0.0276799194765979,-1.58065,0.0209003215434084
-1.56524,0.0380116959064327,-1.57406,0.0291897332662305,-1.577,0.0229099678456592
-1.561602,0.0394736842105263,-1.570413,0.0317060895822849,-1.57335,0.0253215434083601
-1.557964,0.0511695906432749,-1.566766,0.0352289884247609,-1.5697,0.0277331189710611
-1.554326,0.0555555555555556,-1.563119,0.0402617010568697,-1.56605,0.0313504823151125
-1.550688,0.0570175438596491,-1.559472,0.0417715148465023,-1.5624,0.0369774919614148
-1.54705,0.0584795321637427,-1.555825,0.0457976849521892,-1.55875,0.0430064308681672
-1.543412,0.0614035087719298,-1.552178,0.0498238550578762,-1.5551,0.0486334405144695
-1.539774,0.0628654970760234,-1.548531,0.0523402113739306,-1.55145,0.0514469453376206
-1.536136,0.0628654970760234,-1.544884,0.0533467539003523,-1.5478,0.0562700964630225
-1.532498,0.0628654970760234,-1.541237,0.0553598389531958,-1.54415,0.0570739549839228
-1.52886,0.0628654970760234,-1.53759,0.0578761952692501,-1.5405,0.0606913183279743
-1.525222,0.0628654970760234,-1.533943,0.0588827377956719,-1.53685,0.0622990353697749
-1.521584,0.0628654970760234,-1.530296,0.0598892803220936,-1.5332,0.0647106109324759
-1.517946,0.0628654970760234,-1.526649,0.0608958228485154,-1.52955,0.0647106109324759
-1.514308,0.0628654970760234,-1.523002,0.0608958228485154,-1.5259,0.0659163987138264
-1.51067,0.0628654970760234,-1.519355,0.0613990941117262,-1.52225,0.0659163987138264
-1.507032,0.0628654970760234,-1.515708,0.0613990941117262,-1.5186,0.0667202572347267
-1.503394,0.0628654970760234,-1.512061,0.0613990941117262,-1.51495,0.0671221864951768
-1.499756,0.0628654970760234,-1.508414,0.0634121791645697,-1.5113,0.067524115755627
-1.496118,0.0628654970760234,-1.504767,0.0634121791645697,-1.50765,0.067524115755627
-1.49248,0.0628654970760234,-1.50112,0.0634121791645697,-1.504,0.0679260450160772
-1.488842,0.0628654970760234,-1.497473,0.0664318067438349,-1.50035,0.0683279742765273
-1.485204,0.064327485380117,-1.493826,0.0669350780070458,-1.4967,0.0691318327974277
-1.481566,0.064327485380117,-1.490179,0.0669350780070458,-1.49305,0.069935691318328
-1.477928,0.064327485380117,-1.486532,0.0674383492702567,-1.4894,0.0711414790996785
-1.47429,0.064327485380117,-1.482885,0.0689481630598893,-1.48575,0.0711414790996785
-1.470652,0.064327485380117,-1.479238,0.0689481630598893,-1.4821,0.0727491961414791
-1.467014,0.064327485380117,-1.475591,0.069954705586311,-1.47845,0.0727491961414791
-1.463376,0.064327485380117,-1.471944,0.069954705586311,-1.4748,0.0735530546623794
-1.459738,0.064327485380117,-1.468297,0.069954705586311,-1.47115,0.0747588424437299
-1.4561,0.064327485380117,-1.46465,0.0704579768495219,-1.4675,0.0747588424437299
-1.452462,0.064327485380117,-1.461003,0.0709612481127328,-1.46385,0.0747588424437299
-1.448824,0.0657894736842105,-1.457356,0.0724710619023654,-1.4602,0.0747588424437299
-1.445186,0.0657894736842105,-1.453709,0.073980875691998,-1.45655,0.0747588424437299
-1.441548,0.0657894736842105,-1.450062,0.0744841469552089,-1.4529,0.0747588424437299
-1.43791,0.0657894736842105,-1.446415,0.0744841469552089,-1.44925,0.0747588424437299
-1.434272,0.0657894736842105,-1.442768,0.0744841469552089,-1.4456,0.0755627009646302
-1.430634,0.0657894736842105,-1.439121,0.0749874182184197,-1.44195,0.0755627009646302
-1.426996,0.0657894736842105,-1.435474,0.0754906894816306,-1.4383,0.0759646302250804
-1.423358,0.0657894736842105,-1.431827,0.0754906894816306,-1.43465,0.0759646302250804
-1.41972,0.0657894736842105,-1.42818,0.0759939607448415,-1.431,0.077572347266881
-1.416082,0.0657894736842105,-1.424533,0.0759939607448415,-1.42735,0.0779742765273312
